exeution_time,device_id,value
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,12
1,56e17b1d-e023-4449-981e-4139588ffc9b,54
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,26
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,78
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,4
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,32
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,41
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,86
1,56e17b1d-e023-4449-981e-4139588ffc9b,32
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,62
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,64
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,23
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-11
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,47
1,56e17b1d-e023-4449-981e-4139588ffc9b,5
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,80
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,51
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,83
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,42
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
3,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,72
0,56e17b1d-e023-4449-981e-4139588ffc9b,84
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,57
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,91
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,24
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,8
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,15
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,92
1,56e17b1d-e023-4449-981e-4139588ffc9b,28
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,67
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,95
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,5
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,32
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,6
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,92
0,56e17b1d-e023-4449-981e-4139588ffc9b,28
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,67
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,95
